target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,2NDFL,elementary,,22344,0,0,0,0.702016129,38.099513437,4.0109289617,0,0,12.757047683,823
0,2NDFL,advanced,,33664,0,0,0,10.086581541,53.804835691,30.821274047,2,2,8.5144247324,824
0,OTHER,advanced,Corporate,245308,0,1,1,1,34.519380193,4.801571974,1,1,10.026229508,825
0,OTHER,advanced,,50000,0,0,,,37.086136687,1.2203832622,,,13.02860244,826
0,2NDFL,elementary,,,0,1,1,0.9226030466,29.424859645,0.586061831,1,1,0.7090126506,827
0,OTHER,advanced,Corporate,23334,0,1,0,0.3132392473,25.195576016,1.8630136986,1,1,4.1287671233,830
0,2NDFL,advanced,,9616,0,0,,,36.549524665,0.5906205554,,,10.324867131,839
0,OTHER,elementary,Corporate,42380,0,1,1,0.3041442652,45.882191781,1.9178082192,1,1,0.6516356015,841
0,OTHER,elementary,Corporate,115283,0,1,,,35.321109364,10.962205255,,,10.633438132,842
0,OTHER,elementary,Corporate,78356,0,1,1,1.0883064516,27.683060109,4.0601092896,0,0,7.3387978142,845
0,2NDFL,elementary,Corporate,176755,0,1,,,30.543858073,3.912568306,,,9.2096114979,849
0,2NDFL,elementary,,103318,0,0,0,56.7015681,39.764383562,3.8739726027,1,1,11.610958904,859
0,OTHER,elementary,Corporate,59955,0,1,1,0.2409722222,25.056179355,2.4287820945,0,0,1.0452204506,868
0,OTHER,elementary,,87000,0,0,0,4.8277329749,51.093712104,5.7950819672,0,0,5.7348079946,870
0,2NDFL,beginner,,34800,0,0,,,46.60157946,2.048154802,,,1.5577438431,885
0,OTHER,elementary,,63500,0,0,5,0.4681899642,27.849562093,3.1618908601,1,1,7.6714799012,893
0,OTHER,elementary,Corporate,49013,0,1,,,30.534246575,5.5342465753,,,9.9698630137,894
0,OTHER,advanced,Corporate,36184,0,1,0,3.7306451613,25.168702747,1.9276068568,0,0,4.4892506924,895
0,OTHER,advanced,Corporate,18458,0,1,0,27.987275986,55.445355191,0.8537914515,0,0,8.8291339172,900
0,OTHER,advanced,,50000,0,0,0,6.729233871,49.81369863,5.2767123288,0,0,4.5335429299,901
0,OTHER,advanced,Corporate,45759,0,1,,,30.761643836,0.1835616438,,,7.2246575342,910
0,OTHER,elementary,,220000,0,0,0,4.1764336918,36.667939217,6.304109589,1,1,0.7471741897,918
0,OTHER,advanced,Corporate,13231,0,1,1,1.8603270609,44.819904184,0.5546448087,0,0,2.5020959653,922
0,OTHER,elementary,Corporate,151048,0,1,1,0.603718638,39.579234973,2.7036754248,0,0,8.5694288495,924
0,OTHER,elementary,Corporate,151048,0,1,1,0.603718638,39.579234973,2.7036754248,0,0,8.5694288495,925
0,OTHER,elementary,Corporate,44843,0,1,0,,25.836177858,1.0526162138,0,0,2.5348079946,934
0,OTHER,elementary,Corporate,40551,0,1,0,,28.257100082,0.6434014522,0,0,0.818743918,936
0,2NDFL,elementary,,,0,1,0,0.3141577061,26.016438356,1.9424657534,1,1,5.8684931507,944
0,OTHER,elementary,Corporate,107807,0,1,2,0.5967741935,41.613780972,5.9699453552,0,1,8.4808743169,945
0,OTHER,elementary,Corporate,29215,0,1,0,,25.047922749,4.0904109589,,,4.8648626394,963
0,OTHER,elementary,Corporate,113691,0,1,0,0.1870967742,28.128767123,1.6547945205,1,1,8.104109589,969
0,OTHER,elementary,,80000,1,0,0,,51.866120219,1.2571000823,0,0,5.5173740549,976
0,OTHER,elementary,Corporate,226200,0,1,1,1.3362455197,45.105097687,0.304109589,5,5,0.0602739726,981
0,2NDFL,advanced,,28791,0,1,0,60.989852151,51.717808219,29.849315068,0,0,6.6547945205,988
0,2NDFL,advanced,,44693,0,0,1,1.1524193548,48.74420241,0.8263941912,0,0,3.7295081967,991
0,2NDFL,elementary,,112129,0,0,0,2.508266129,29.424657534,1.8630136986,0,0,6.6383561644,996
0,OTHER,elementary,Corporate,102762,0,1,1,0.41265681,39.527322404,7.009955835,0,1,2.0291339172,998
0,OTHER,beginner,Corporate,50000,0,1,0,-0.816666667,44.416438356,2.9671232877,1,1,11.419178082,1014
0,2NDFL,elementary,,31742,0,0,,,45.775342466,1.4794520548,,,0.7414252564,1015
0,OTHER,elementary,Corporate,186827,0,1,0,22.540300179,36.530705891,0.8567332884,0,0,1.1060483569,1016
0,OTHER,elementary,Corporate,110252,0,1,0,20.410819892,27.975409836,3.1243281683,0,1,7.956284153,1018
0,2NDFL,beginner,,134724,0,0,3,0.281765233,36.423654465,7.3589041096,1,1,11.183561644,1028
0,OTHER,advanced,Corporate,36300,0,1,0,,30.84165731,5.1046710083,,,9.4882326521,1033
0,OTHER,elementary,Corporate,67184,0,1,0,0.66234319,28.710472341,3.7732240437,0,0,8.2213114754,1036
0,OTHER,elementary,,65000,0,0,2,0.5379256272,48.869608504,0.8614117823,0,0,3.8219178082,1038
0,OTHER,elementary,Corporate,25338,0,1,0,0.8603046595,25.810958904,2.5589041096,1,1,5.7232876712,1046
0,2NDFL,advanced,,17458,0,0,1,0.277688172,36.090163934,12.487027472,0,0,10.629493226,1053
0,2NDFL,high,,37333,0,0,,,55.02739726,1.9917808219,,,9.5397260274,1058
0,OTHER,elementary,Corporate,49171,0,1,0,2.0789650538,30.789415375,1.9921551014,0,0,2.7318811288,1059
0,2NDFL,advanced,,52076,0,0,0,7.5730062724,38.679017891,6.8297028221,0,0,8.6571000823,1061
0,2NDFL,elementary,Corporate,69439,0,0,0,28.702889785,27.62795868,0.5136612022,1,1,7.5320682686,1066
0,OTHER,elementary,Corporate,39366,0,0,1,0.4762992832,27.939726027,6.3068493151,1,1,7.7479452055,1077
0,OTHER,elementary,Corporate,39366,0,0,1,0.4762992832,27.939726027,6.3068493151,1,1,7.7479452055,1079
0,OTHER,elementary,Corporate,21076,0,1,,,29.910629538,5.6202185792,,,9.699670634,1080
0,OTHER,elementary,,60000,0,0,1,0.217562724,31.298630137,4.9949696834,0,0,9.3150684932,1086
0,OTHER,advanced,Corporate,34853,0,1,1,0.3396281362,29.380582379,0.3696234748,0,0,4.1066097762,1092
0,2NDFL,elementary,,47850,0,0,,,40.17260274,6.7753424658,,,15.019178082,1101
0,2NDFL,elementary,,21390,0,0,,,41.416438356,11.495890411,,,10.44109589,1110
0,OTHER,high,,104400,0,0,0,0.6655241935,44.799176585,4.4109589041,1,1,11.046575342,1114
